CT34CAM007;10.34.98.150;CAMERA IP 01;OK
CT34CAM008;10.34.98.151;CAMERA IP 02;OK
CT34CAM009;10.34.98.152;CAMERA IP 03;OK
CT34CAM010;10.34.98.153;CAMERA IP 04;OK
CT34CAM011;10.34.98.154;CAMERA IP 05;OK
CT34CAM012;10.34.98.155;CAMERA IP 06;
CT34CAM013;10.34.98.156;CAMERA IP 07;OK
CT34CAM014;10.34.98.157;CAMERA IP 08;OK
CT34CAM015;10.34.98.158;CAMERA IP 09;OK
CT34CAM016;10.34.98.159;CAMERA IP 10;
CT34CAM017;10.34.98.160;CAMERA IP 11;OK
CT34CAM018;10.34.98.161;CAMERA IP 12;
CT34CAM019;10.34.98.162;CAMERA IP 13;
CT34CAM020;10.34.98.163;CAMERA IP 14;
CT34CAM021;10.34.98.164;CAMERA IP 15;
CT34CAM022;10.34.98.165;CAMERA IP 16;
CT34CAM023;10.34.98.166;CAMERA IP 17;
CT34CAM024;10.34.98.167;CAMERA IP 18;
CT34CAM025;10.34.98.168;CAMERA IP 19;
CT34CAM026;10.34.98.169;CAMERA IP 20;
CT34CAM027;10.34.98.170;CAMERA IP 21;
CT34CAM028;10.34.98.171;CAMERA IP 22;OK
CT34CAM029;10.34.98.172;CAMERA IP 23;OK
CT34CAM030;10.34.98.173;CAMERA IP 24;
CT34CAM031;10.34.98.174;CAMERA IP 25;
CT34CAM032;10.34.98.175;CAMERA IP 26;
CT34CAM033;10.34.98.176;CAMERA IP 27;OK
CT34CAM034;10.34.98.177;CAMERA IP 28;OK
CT34CAM035;10.34.98.178;CAMERA IP 29;OK
CT34CAM036;10.34.98.179;CAMERA IP 30;OK
CT34CAM037;10.34.98.180;CAMERA IP 31;OK
CT34CAM038;10.34.98.181;CAMERA IP 32;OK
CT34CAM039;10.34.98.182;CAMERA IP 33;OK
CT34CAM040;10.34.98.183;CAMERA IP 34;OK
CT34CAM041;10.34.98.184;CAMERA IP 35;OK
CT34CAM042;10.34.98.185;CAMERA IP 36;
CT34CAM043;10.34.98.186;CAMERA IP 37;OK
CT34CAM044;10.34.98.187;CAMERA IP 38;OK
CT34CAM045;10.34.98.188;CAMERA IP 39;
CT34CAM046;10.34.98.189;CAMERA IP 40;OK
CT34CAM047;10.34.98.190;CAMERA IP 41;OK
CT34CAM048;10.34.98.191;CAMERA IP 42;OK
CT34CAM049;10.34.98.192;CAMERA IP 43;OK
CT34CAM050;10.34.98.193;CAMERA IP 44;OK
